sgRNA,Gene,initial.count,final.count
1,1,65,169
2,1,84,42
3,1,59,367
4,1,90,282
5,2,133,879
6,2,139,1174
7,2,22,138
8,2,84,870
9,3,138,286
10,3,73,268
11,3,188,839
12,3,116,206
13,4,190,1008
14,4,172,654
15,4,62,309
16,4,155,566
17,5,27,800
18,5,35,70
19,5,4,54
20,5,16,279
21,6,162,548
22,6,102,883
23,6,64,219
24,6,106,909
25,7,99,117
26,7,113,410
27,7,264,1735
28,7,85,212
29,8,55,279
30,8,27,82
31,8,41,563
32,8,56,3
33,9,78,19
34,9,162,1182
35,9,143,603
36,9,63,321
37,10,274,309
38,10,239,146
39,10,23,362
40,10,179,1336
41,11,248,2340
42,11,40,104
43,11,94,211
44,11,209,741
45,12,71,238
46,12,134,286
47,12,21,231
48,12,52,415
49,13,164,423
50,13,104,1034
51,13,218,802
52,13,69,206
53,14,94,204
54,14,128,185
55,14,35,56
56,14,78,420
57,15,50,163
58,15,174,586
59,15,48,105
60,15,36,93
61,16,145,544
62,16,24,113
63,16,116,135
64,16,81,352
65,17,120,56
66,17,50,364
67,17,132,1060
68,17,408,2689
69,18,166,133
70,18,79,94
71,18,160,546
72,18,81,395
73,19,88,203
74,19,90,228
75,19,100,760
76,19,66,315
77,20,1,60
78,20,110,314
79,20,161,631
80,20,55,57
81,21,57,40
82,21,98,26
83,21,67,9
84,21,61,372
85,22,225,721
86,22,75,325
87,22,182,214
88,22,190,1442
89,23,64,123
90,23,308,1084
91,23,25,95
92,23,53,140
93,24,57,267
94,24,9,155
95,24,83,152
96,24,186,421
97,25,71,75
98,25,430,1252
99,25,110,151
100,25,13,88
101,26,140,1037
102,26,203,394
103,26,176,592
104,26,144,609
105,27,124,602
106,27,43,400
107,27,5,176
108,27,128,10
109,28,139,1182
110,28,194,453
111,28,60,160
112,28,45,28
113,29,10,181
114,29,0,74
115,29,134,404
116,29,14,114
117,30,89,307
118,30,173,524
119,30,87,331
120,30,201,579
121,31,550,1890
122,31,58,65
123,31,101,576
124,31,66,298
125,32,97,672
126,32,104,256
127,32,196,1790
128,32,195,831
129,33,91,353
130,33,81,457
131,33,182,1164
132,33,21,287
133,34,47,54
134,34,107,702
135,34,131,283
136,34,228,1073
137,35,200,598
138,35,195,424
139,35,210,1440
140,35,74,216
141,36,41,138
142,36,79,361
143,36,384,2679
144,36,76,111
145,37,71,887
146,37,78,262
147,37,348,1396
148,37,96,440
149,38,35,172
150,38,24,370
151,38,58,774
152,38,26,138
153,39,29,341
154,39,88,153
155,39,51,118
156,39,20,168
157,40,297,104
158,40,123,532
159,40,65,177
160,40,206,710
161,41,86,1192
162,41,123,570
163,41,49,252
164,41,210,73
165,42,281,552
166,42,68,247
167,42,19,129
168,42,387,642
169,43,150,436
170,43,59,592
171,43,76,259
172,43,226,894
173,44,9,1
174,44,230,452
175,44,242,2204
176,44,122,273
177,45,77,33
178,45,122,384
179,45,39,437
180,45,109,458
181,46,260,3944
182,46,138,153
183,46,212,702
184,46,93,430
185,47,447,977
186,47,147,587
187,47,58,294
188,47,107,587
189,48,35,229
190,48,44,158
191,48,197,649
192,48,16,214
193,49,104,229
194,49,105,85
195,49,266,183
196,49,118,532
197,50,32,142
198,50,197,1471
199,50,142,176
200,50,10,193
201,51,151,431
202,51,172,238
203,51,119,224
204,51,54,220
205,52,123,315
206,52,74,312
207,52,86,325
